Ref,Val,Package,PosX,PosY,Rot,Side
"J2","Conn_01x03_Female","PinHeader_1x03_P2.54mm_Vertical",43.500000,-66.625000,180.000000,top
"MX1","SW_SPST","MXOnly-1U-NoLED",34.000000,-28.000000,0.000000,top
"MX2","SW_SPST","MXOnly-1U-NoLED",53.000000,-28.000000,0.000000,top
"MX3","SW_SPST","MXOnly-1U-NoLED",72.000000,-28.000000,0.000000,top
"MX4","SW_SPST","MXOnly-1U-NoLED",91.000000,-28.000000,0.000000,top
"MX5","SW_SPST","MXOnly-1U-NoLED",110.000000,-28.000000,0.000000,top
"MX6","SW_SPST","MXOnly-1U-NoLED",129.000000,-28.000000,0.000000,top
"MX7","SW_SPST","MXOnly-1U-NoLED",148.000000,-28.000000,0.000000,top
"MX8","SW_SPST","MXOnly-1U-NoLED",167.000000,-28.000000,0.000000,top
"MX9","SW_SPST","MXOnly-1U-NoLED",186.000000,-28.000000,0.000000,top
"MX10","SW_SPST","MXOnly-1U-NoLED",205.000000,-28.000000,0.000000,top
"MX11","SW_SPST","MXOnly-1U-NoLED",224.000000,-28.000000,0.000000,top
"MX12","SW_SPST","MXOnly-1U-NoLED",243.000000,-28.000000,0.000000,top
"MX13","SW_SPST","MXOnly-1U-NoLED",34.000000,-47.000000,0.000000,top
"MX14","SW_SPST","MXOnly-1U-NoLED",53.000000,-47.000000,0.000000,top
"MX15","SW_SPST","MXOnly-1U-NoLED",72.000000,-47.000000,0.000000,top
"MX16","SW_SPST","MXOnly-1U-NoLED",91.000000,-47.000000,0.000000,top
"MX17","SW_SPST","MXOnly-1U-NoLED",110.000000,-47.000000,0.000000,top
"MX18","SW_SPST","MXOnly-1U-NoLED",129.000000,-47.000000,0.000000,top
"MX19","SW_SPST","MXOnly-1U-NoLED",148.000000,-47.000000,0.000000,top
"MX20","SW_SPST","MXOnly-1U-NoLED",167.000000,-47.000000,0.000000,top
"MX21","SW_SPST","MXOnly-1U-NoLED",186.000000,-47.000000,0.000000,top
"MX22","SW_SPST","MXOnly-1U-NoLED",205.000000,-47.000000,0.000000,top
"MX23","SW_SPST","MXOnly-1U-NoLED",224.000000,-47.000000,0.000000,top
"MX24","SW_SPST","MXOnly-1U-NoLED",243.000000,-47.000000,0.000000,top
"MX25","SW_SPST","MXOnly-1U-NoLED",34.000000,-66.000000,0.000000,top
"MX26","SW_SPST","MXOnly-1U-NoLED",53.000000,-66.000000,0.000000,top
"MX27","SW_SPST","MXOnly-1U-NoLED",72.000000,-66.000000,0.000000,top
"MX28","SW_SPST","MXOnly-1U-NoLED",91.000000,-66.000000,0.000000,top
"MX29","SW_SPST","MXOnly-1U-NoLED",110.000000,-66.000000,0.000000,top
"MX30","SW_SPST","MXOnly-1U-NoLED",129.000000,-66.000000,0.000000,top
"MX31","SW_SPST","MXOnly-1U-NoLED",148.000000,-66.000000,0.000000,top
"MX32","SW_SPST","MXOnly-1U-NoLED",167.000000,-66.000000,0.000000,top
"MX33","SW_SPST","MXOnly-1U-NoLED",186.000000,-66.000000,0.000000,top
"MX34","SW_SPST","MXOnly-1U-NoLED",205.000000,-66.000000,0.000000,top
"MX35","SW_SPST","MXOnly-1U-NoLED",224.000000,-66.000000,0.000000,top
"MX36","SW_SPST","MXOnly-1U-NoLED",243.000000,-66.000000,0.000000,top
"MX37","SW_SPST","MXOnly-1U-NoLED",34.000000,-85.000000,0.000000,top
"MX38","SW_SPST","MXOnly-1U-NoLED",53.000000,-85.000000,0.000000,top
"MX39","SW_SPST","MXOnly-1U-NoLED",72.000000,-85.000000,0.000000,top
"MX40","SW_SPST","MXOnly-1U-NoLED",91.000000,-85.000000,0.000000,top
"MX41","SW_SPST","MXOnly-1U-NoLED",110.000000,-85.000000,0.000000,top
"MX42","SW_SPST","MXOnly-1U-NoLED",129.000000,-85.000000,0.000000,top
"MX43","SW_SPST","MXOnly-1U-NoLED",148.000000,-85.000000,0.000000,top
"MX44","SW_SPST","MXOnly-1U-NoLED",167.000000,-85.000000,0.000000,top
"MX45","SW_SPST","MXOnly-1U-NoLED",186.000000,-85.000000,0.000000,top
"MX46","SW_SPST","MXOnly-1U-NoLED",205.000000,-85.000000,0.000000,top
"MX47","SW_SPST","MXOnly-1U-NoLED",224.000000,-85.000000,0.000000,top
"MX48","SW_SPST","MXOnly-1U-NoLED",243.000000,-85.000000,0.000000,top
"PCB1","planck-pcb-module","planck-pcb-module",138.500000,-56.500000,0.000000,top
